0,1,2,3,4
Procedure(s),절차(서),"중간체    또는  API의  제조와  관련하여  실시할  작업,  지켜야  할  주
의사항,  직간접적으로  취해야할  조치를  문서화한  서술","A 
 
documented 
description 
of 
the 
operations 
to 
be 
performed, 
the 
precautions  to    be  taken  and  measures  to  be  applied  directly  or  indirectly 
related  to  the    manufacture  of  an  intermediate  or  API.",Ref    2
,,"의약품의  생산에  직/간접적으로  관련되어  적용되어  행하여지는 
공정,  주의사항,  수반되는    주의사항,  대책  등에  대한  묘사","Description    of  the  operations  to  be  carried  out,  the  precautions  to  be  taken 
and  measures    to  be  applied  directly  or  indirectly  related  to  the  manufacture 
of  a    medicinal  product.",Ref    4
Process  Aids,공정  보조제,"중간체    또는  API의  제조에  보조용으로  사용되는  물질이며  용매
는  제외되고  화학  반응이나  생물학적  반응에  직접  관여하지  않는","Materials, 
  excluding  solvents,  used  as  an  aid 
in 
the  manufacture  of  an 
intermediate  or    API 
that  do  not 
themselves  participate 
in  a  chemical  or",Ref    2
,,"것(예,  필터  보조물,    활성탄소  등)","biological  reaction    (e.g.  filter  aid,  activated  carbon,  etc).",
"Process 
Control",공정제어,공정관리(IPC)    참조,See    In-Process  Control.,Ref    2
"Process 
owner",업무책임자,특정    업무(Business  Process)에  대해  책임을  지는  사람,The    person  responsible  for  the  business  process.,Ref    20
"Process 
Validation",공정    밸리데이션,"설정된    범위  이내에서  작업했을  때  사전에  설정된  규격과  품질 
특성에  부합하는  의약품을  효과적이고  재현성  있게  생산할  수  있
음을  보여  주는  문서화된    증거","The 
  documented  evidence 
that 
the  process,  operated  within  established 
parameters,    can  perform  effectively  and  reproducibly  to  produce  a  medicinal 
product    meeting  its  predetermined  specifications  and  quality  attributes.",Ref    6
"Product 
Lifecycle",제품수명,"초기    개발  단계부터  판매를  거쳐  그  제품이  중단되기까지  모든 
라이프사이클  단계.","All    phases  in  the  life  of  the  product  from  the  initial  development  through   
marketing  until  the  product’s  discontinuation.",Ref    14
"Product 
Realisation",제품  구현,"환자,    의료  전문가,  규제  기관(판매  허가  준수  포함),  내부  고객의 
요구  사항을  충족시키는데  적절한  품질  특성을  지닌  제품의  확보.","Achievement    of  a  product  with  the  quality  attributes  appropriate  to  meet 
the  needs  of    patients,  health  care  professionals,  and  regulatory  authorities 
(including    compliance  with  marketing  authorisation)  and  internal  customers 
requirements.",Ref    19
Production,생산,"물품의    입고에서  가공  및  포장을  거치는  API  조제와  관련된  모
든  작업","All 
  operations 
involved 
in 
the  preparation  of  an  API 
from 
receipt  of 
materials    through  processing  and  packaging  of  the  API.",Ref    2
,,"원료약품의      구성부터,  공정,  포장을  통하여  완제
의약품이  되기까지의  의약품  제조에  관련된  모든  행
위.","All 
  operations 
involved 
in 
the  preparation  of  a  medicinal  product, 
from 
receipt    of  materials,  through  processing  and  packaging,  to  its  completion  as 
a    finished  product.",Ref    4
,,"물품의  인수부터  가공,  포장  및  재포장,  라벨  작업  및  재라벨  작
업을  거쳐  최종    제품을  만들기  까지  의약품  제조와  관련된  모든 
작업","Alloperationsinvolvedinthepreparationofapharmaceuticalproduct,
fromreceiptofmaterials,throughprocessing,packagingandrepackaging,
labellingandrelabelling,tocompletionofthefinishedproduct.",Ref    5
"Prospective 
Validation",예측적    밸리데이션,판매용    의약품의  정식  생산에  앞서  실시하는  밸리데이션,"Validation    carried  out  before  routine  production  of  products  intended  for 
sale.",Ref    6
"Proven 
Acceptable 
Range",검증된  허용    범위,"다른    변수를  일정하게  유지하면서  이  허용  범위  이내에서  작업
을  하면  관련  품질  기준에  부합하는  물품이  생산되는,  특성  분석
이  완료된  공정  변수의    범위.","Acharacterisedrangeofaprocessparameterforwhichoperationwithinthisrange,whilek
eepingotherparametersconstant,willresultinproducingamaterialmeetingrelevantqua
litycriteria.",Ref    18
"Public  Key 
Infrastructure",공개  키    기반구조,"공개키기반구조(PKI)는공개키암호화기술,디지털인증서를사용하여안
전한통신(커뮤니케이션)을위한프레임워크를제공한다.
PKI는다양한영역에서존재할수있지만기본적으로두가지종류가있다.
사설PKI는비즈니스와다른관련(예를들어,고객/공급자)부분의이익을
위하여기업에의해사용되어진다.
공인PKI(신뢰성있는제3자가사용하는)는인터넷과같은개방형        시
스템에서  사용되어지고,  사전에  연관  없는  당사자들간의  보안을 
용이하게  한다.","PublicKeyInfrastructure(PKI)providesaframeworkforsecurecommunication,usingaco
mbinationofpublic-keycryptographyandDigitalCertificates.
PKIscanexistwithinmanydifferentdomainsbutessentiallytherearetwotypes:
APrivatePKIisdeployedbyacorporationforthebenefitofitsbusinessandanyrelatedparti
es(e.g.customers,suppliers).
PublicPKIs(using‘TrustedThirdParties’)aredeployedonopensystems,suchastheIntern
etandfacilitatesecuritybetweenpreviouslyunrelatedparties.",Ref    1
Purity  Test,순도시험,"검체    중  유연물질,  중금속,  잔류용매  등  불순물의  존재  정도를 
정확하게  측정하는  시험을  말한다.",N/A,Ref    17
,,,,
Pyrogen,발열성물질,환자에게    발열  증상을  유발하는  물질,Asubstancethatinducesafebrilereactioninapatient.,Ref    10
Qualification,적격성평가,"시설,    시스템,  설비가  올바르게  작동하여  실제로  예상  결과를  낳
을  수  있다는  점을  증명하는  행위.  밸리데이션  이라는  용어는  때
로  적격성  평가의    개념을  포괄하기도  한다.","Actionofprovingthatanypremises,systemsanditemsofequipment
workcorrectlyandactuallyleadtotheexpectedresults.Themeaningof
theword“validation”issometimesextendedtoincorporatetheconceptof
qualification.",Ref    5
,,"설비  또는  부대  시스템이  적절하게  설치되고  올바로  작동하며  예
상  결과를  실제로  낳을    수  있음을  증명하고  문서화하는  행위.  적
격성평가가  밸리데이션의  일부이기는  하지만,  개개  적격성평가  단
계만으로는  공정밸리데이션을  구성하지    않는다.","Action    of  proving  and  documenting  that  equipment  or  ancillary  systems  are 
properly    installed,  work  correctly,  and  actually  lead  to  the  expected  results.   
Qualification  is  part  of  validation,  but  the  individual  qualification  steps    alone 
do  not  constitute  process  validation.",Ref    2
,,"장비가  올바르게  작동하고,  기대한  결과값을  실제로  도출해  낼  수 
있는  지  검증하는    행위.  밸리데이션이  때때로  적격성  평가의  개
념을  포함하여  확대된다.","Actionofprovingthatanyequipmentworkscorrectlyandactuallyleadstotheexpectedres
ults.
Thewordvalidationissometimeswidenedtoincorporatetheconceptofqualification.",Ref    4
,,"기계ㆍ설비가  설계한  대로  제작,  설치되고  목적한  대로  작동하여 
원하는  결과가    얻어진다는  것을  증명하고  이를  문서화하는  것을 
말한다.",N/A,Ref    15
Quality,품질,"제품,    시스템  또는  공정에  내재된  일련의  특성이  기준  요건을  충
족하는  정도.","The    degree  to  which  a  set  of  inherent  properties  of  a  product,  system  or 
process    fulfills  requirements  (see  ICH  Q6A  definition  specifically  for    ""quality"" 
of  drug  substance  and  drug  (medicinal)  products.)",Ref    14
,,"약효  성분이나  의약품의  예정  용도  적합성.  확인,  함량,  순도  등의 
특성  요소가  이에    포함된다","The    suitability  of  either  a  drug  substance  or  a  drug  product  for  its  intended   
use.  This  term  includes  such  attributes  as  the  identity,  strength,  and  purity",Ref    18
,,"제품,  시스템  또는  공정에  내재된  일련의  특성이  기준  요건을  충
족하는  정도.","The    degree  to  which  a  set  of  inherent  properties  of  a  product,  system  or 
process    fulfils  requirements.",Ref    19
"Quality 
Assurance",품질  보증,"품질보증은품질에개별적 
  또는  총체적으로  영향을  미치는  모든 
사항들을  다루는      광의의  개념이다.  의약품이  사용목적에  맞는 
품질을  가지고  있음을  보증할  목적으로  만들어진  조직적인  협의
사항들의  총합이다.  그러므로,      품질보증은  GMP  와  이  가이드라
인  범위  밖의  다른  요소들을  포함한다.","Quality    Assurance  is  a  wide-ranging  concept,  which  covers  all  matters,  which   
individually  or  collectively  influence  the  quality  of  a  product.  It  is  the    sum 
total  of 
the  organised  arrangements  made  with 
the  objective  of  ensuring   
that  medicinal  products  are  of  the  quality  required  for  their  intended  use.   
Quality  Assurance 
therefore 
incorporates  Good  Manufacturing  Practice  plus   
other  factors  outside  the  scope  of  this  Guide.",Ref    9
,,"모든  API가  목적  용도에  필요한  품질을  갖추며  품질  시스템이  유
지되도록  하기  위한    목적으로  이루어진  조직화된  체계의  총합","The 
  sum 
total  of 
the  organised  arrangements  made  with 
the  object  of 
ensuring  that    all  APIs  are  of  the  quality  required  for  their  intended  use  and 
that  quality    systems  are  maintained.",Ref    2
"Quality  by 
Design",설계에  의한    품질,"목표를    미리  정하면서  시작하며  합리적인  과학과  품질  리스크 
관리를  기반으로  제품과  공정  이해,  그리고  공정  관리를  강조하는 
체계적인  개발  방식.","Asystematicapproachtodevelopmentthatbeginswithpredefinedobjectivesandemph
asizesproductandprocessunderstandingandprocesscontrol,basedonsoundsciencea
ndqualityriskmanagement.",Ref    18
"Quality 
Control",품질관리,"품질관리는    필요하고  관련  있는  시험이  실제로  실시되고  원자재 
또는  제품의  품질이  만족스럽다고  판정되기  이전에  제조에  사용
되거나  판매  또는  공급용으로    출하되지  않도록  보장하는  검체채
취,  규격  및  시험,  그리고  조직,  문서화,  출하  절차와  관련된  GMP
의  일부이다.","Quality 
  Control 
is 
that  part  of  Good  Manufacturing  Practice  which 
is 
concerned 
with 
 
sampling, 
specifications 
and 
testing, 
and 
with 
the 
organisation,    documentation  and  release  procedures  which  ensure  that  the 
necessary  and    relevant  tests  are  actually  carried  out  and  that  materials  are 
not  released    for  use,  nor  products  released  for  sale  or  supply,  until  their 
quality  has    been  judged  to  be  satisfactory.",Ref    9
,,규격에의  부합  여부에  대한  점검  또는  시험,Checking    or  testing  that  specifications  are  met.,Ref    2
"Quality 
control  unit",품질관리부서,"품질관리에    관련된  직무에  대하여  책임을  지도록  회사에  의해서 
지정된  사람  또는  조직요소를  의미한다.","Quality    control  unitmeans  any  person  or  organizational  element  designated 
by  the  firm    to  be  responsible  for  the  duties  relating  to  quality  control.",Ref    3
"Quality 
Manual",품질매뉴얼,조직의    품질  경영  시스템을  규정한  문서.  (ISO  9000:2005),"Document 
  specifying 
the  quality  management  system  of  an  organisation. 
(ISO  9000:2005)",Ref    19
"Quality 
Objectives",품질  목표,품질    정책과  전략을  측정  가능한  활동으로  전환시키는  수단.,"A 
  means 
to 
translate 
the  quality  policy  and 
strategies 
into  measurable   
activities.",Ref    19
"Quality 
Planning",품질  계획,"품질    목표의  설정과  품질  목표  달성에  필요한  운영  프로세스와 
관련  자원을  규정하는데  중점을  둔  품질  경영  부분. 
(ISO 
9000:2005)","Part 
  of  quality  management 
focused  on 
setting  quality  objectives  and 
specifying    necessary  operational  processes  and  related  resources  to  fulfil  the 
quality    objectives.  (ISO  9000:2005)",Ref    19
"Quality 
Policy",품질  방침,"고위    경영자가  공식적으로  밝힌,  품질과  관련한  조직의  전반적인 
의도와  방향.  (ISO  9000:2005)","Overall 
 
intentions  and  direction  of  an  organisation 
related 
to  quality  as 
formally    expressed  by  senior  management.  (ISO  9000:2005)",Ref    19
"Quality  Risk 
Management","품질리스크관리,    품질
위해요소관리","제품라이프사이클전체에걸쳐의약품품질리스크의진단,통제,커뮤니
케이션,검토를위한체계적인프로세스.","A    systematic  process  for  the  assessment,  control,  communication  and  review 
of    risks  to  the  quality  of  the  drug  (medicinal)  product  across  the  product   
lifecycle.",Ref    14
,,"제품  라이프사이클  전체에  걸쳐  의약품의  품질과  관련한  리스크
의  평가,  관리,    커뮤니케이션,  검토를  위한  체계적인  프로세스.","A    systematic  process  for  the  assessment,  control,  communication  and  review 
of    risks  to  the  quality  of  the  drug  (medicinal)  product  across  the  product   
lifecycle.",Ref    19
"Quality 
System","품질체계,    품질시스템","품질    방침을  이행하고  품질  목표  달성을  위한  시스템을  구성하
는  모든  부분의  합","The 
  sum  of  all  aspects  of  a  system 
that 
implements  quality  policy  and 
ensures    that  quality  objectives  are  met.",Ref    14
Quality,품질  목표    제품  프로,"의약품의    안전성과  유효성을  감안하여,  원하는  품질을  보장하기",A    prospective  summary  of  the  quality  characteristics  of  a  drug  product  that    Ref    18,
"Target 
Product 
Profile",필,위해  달성해야  할  의약품의  예측적  품질  특성  요약.,"ideally  will  be  achieved  to  ensure  the  desired  quality,  taking  into  account   
safety  and  efficacy  of  the  drug  product.",
"Quality 
Unit(s)",품질부서,"품질보증(QA)과 
  품질관리(QC)  업무  모두를  수행하며  생산과는 
독립된  조직  단위.  조직의  구조와  규모에  따라,  별개의  QA,  QC 
조직으로  구성되거나    단일의  개인(또는  그룹)으로  구성될  수도 
있다","An    organizational  unit  independent  of  production  which  fulfills  both  Quality   
Assurance  and  Quality  Control  responsibilities.  This  can  be  in  the  form  of   
separate  QA  and  QC  units  or  a  single  individual  or  group,  depending  upon 
the    size  and  structure  of  the  organization.",Ref    2
,,"품질보증(QA)과  품질관리(QC)  업무  모두를  수행하며  생산과는  독
립된  조직  단위.    조직의  구조와  규모에  따라,  별개의  QA,  QC  조
직으로  구성되거나  단일의  개인(또는  그룹)으로  구성될  수도  있다","An    organizational  unit  independent  of  production  which  fulfi  ls  both  quality   
assurance  (QA)  and  quality  control  (QC)  responsibilities.  This  can  be  in  the   
form  of 
separate  QA 
and  QC 
units 
or 
a 
single 
individual  or  group, 
depending    upon  the  size  and  structure  of  the  organization.",Ref    5
"Quantitation 
Limit",정량한계,"적절한    정밀성과  정확성을  가진  정량값으로  표현할  수  있는  검
체  중  분석대상물질의  최소량을  말한다.",N/A,Ref    17
Quarantine,격리,"이후의    승인  또는  부적합  처리에  대한  결정이  나기까지,  물리적
으로나  기타  효과적인  수단에  의해  물품을  격리시켜  놓은  상태","The 
 
status  of  materials 
isolated  physically  or  by  other  effective  means 
pending  a    decision  on  their  subsequent  approval  or  rejection.",Ref    2
,,"물리적으로  고립되거나,  다른  효과적인  방법으로  출하승인,  출하
거부  결정을  기다리는    대기  중인  출발물질  또는  포장자재,  중간
체,  반제품,  또는  완제의약품의  상태","The    status  of  starting  or  packaging  materials,  intermediate,  bulk  or  finished   
products 
isolated  physically  or  by  other  effective  means  whilst  awaiting  a   
decision  on  their  release  or  refusal.",Ref    4
,,"출발  물질이나  포장자재,  중간  제품,  벌크  또는  최종  제품을  적합 
승인,  부적합  처리    또는  재가공  결정이  나기까지  물리적으로  또
는  기타  효과적인  수단에  의해  분리시켜  놓은  상태","The 
  status  of  starting  or  packaging  materials, 
intermediates,  or  bulk  or 
finished 
  products 
isolated  physically  or  by  other  effective  means  while  a 
decision  is    awaited  on  their  release,  rejection  or  reprocessing.",Ref    5
"Radiopharma
ceutical",방사성의약품,"의약의    목적으로  사용을  위한  준비가  되었을  때,  하나  이상의  방
사핵종(방사성  동위원소)을  포함하고  있는  모든  의약품을  의미한
다.","“Radiopharmaceutical”    shall  mean  any  medicinal  product  which,  when  ready 
for  use,  contains  one  or    more  radionuclides  (radioactive  isotopes)  included 
for  a  medicinal  purpose    (Article  1(6)  of  Directive  2001/83/EC.",Ref    4
Range,범위,"적절한    정밀성,  정확성  및  직선성을  충분히  제시할  수  있는  검체 
중  분석대상물질  양(또는  농도)의  하한  및  상한값  사이의  영역을 
말한다.",N/A,Ref    17
Raw  Data,"원본  자료,    기초자료,
생  데이터,","관찰    및  행위의  결과로  만들어진  작업서,  기록서,  메모,  노트  혹
은  그  복사물.  원본  자료는  업무(Work  Project),  프로세스,  연구   
보고서(Study  Report)  등을  재현하거나  평가하는데  필요하다.  원
본  자료는  종이  복사물이거나  전자적인  형태일  수  있으나  시스템
내의    절차에  의해  정의되어야  한다.","Anywork-sheets,records,memoranda,notes,orexactcopiesthereof,thataretheresultof
originalobservationsandactivitiesandwhicharenecessaryforthereconstructionandeva
luationofaworkproject,processorstudyreport,etc.Rawdatamaybehard/papercopyore
lectronicbutmustbeknownanddefinedinsystemprocedures.",Ref    1
Raw  Material,"원료,  원료약품","중간체  또는  API  생산에  사용하는  출발물질,  시약  및    용매를  지
칭하는  일반적인  용어","A  general  term    used  to  denote  starting  materials,  reagents,  and  solvents 
intended  for  use  in    the  production  of  intermediates  or  APIs.",Ref    2
,,"완제품의제조에사용되는물질(자재는제외한다)을        말하며,  완제품
에  남아  있지  아니한  물질을  포함한다.",N/A,Ref    15
"Real  Time 
Release 
Testing","실시간  출하    승인  시
험","공정데이터에근거하여공정중물품및/또는최종제품의품질을평가하
고확인하는것으로,일반적으로는물품특성요소평가와공정관리의유효
한조합을포함한다.","The    ability 
to  evaluate  and  ensure 
the  quality  of  in-process  and/or 
final 
product    based  on  process  data,  which  typically  include  a  valid  combination 
of    measured  material  attributes  and  process  controls.",Ref    18
Reconcilation,"정산,  대조,  조사","제품이나    물품의  이론적인  생산량  또는  사용량과  실제  생산량 
또는  사용량의  비교이며  정상  허용  편차  범위를  설정한다.","Acomparison,makingdueallowancefornormalvariation,betweentheamountofproduc
tormaterialstheoreticallyandactuallyproducedorused.",Ref    4
,,이론  수량과  실제  수량의  비교,A    comparison  between  the  theoretical  quantity  and  the  actual  quantity.,Ref    5
,,,,
Recovery,회수,"정의된  제조  단계에서  다른  배치  안으로  필요한  품
질을  가진  이전  배치의  전부      또는  일부분을  투입
하는  행위","The    introduction  of  all  or  part  of  previous  batches  of  the  required  quality 
into    another  batch  at  a  defined  stage  of  manufacture.",Ref    4
,,"필요품질수준이전제조단위(또는재증류용매및유사제품)전부또는일
부를일정제조단계에서다른제조단위에도입하는것.회수는정제된물질
을얻기위해폐기물에서불순물을제거하는공정또는사용한물질을별도
로사용하기위해회수하는공정을포함한다.","The  introduction    of  all  or  part  of  previous  batches  (or  of  redistilled  solvents 
and  similar    products)  of  the  required  quality  into  another  batch  at  a  defi 
ned  stage  of    manufacture.  It  includes  the  removal  of  impurities  from  waste 
to  obtain  a    pure  substance  or  the  recovery  of  used  materials  for  a  separate 
use.",Ref    5
"Reference 
sample","대표검체(시험용검체),   
참고품","해당  제조단위의    사용(유효)기간  동안  필요에  따라  분석을  실시
할  목적으로  보관하는  원료,  포장자재,  또는  완제품의  각  제조단
위별  검체를  말한다.    안정성시험결과에  의거하여  필요하다고  판
단되는  경우,  중요  반제품(예:  분석시험  및  출하승인을  필요로  하
는  것)  및  제조업자의  관리범위를    벗어나는  반제품도  대표  검체
를  보관해야  한다.","a 
  sample  of  a  batch  of  starting  material,  packaging  material  or 
finished   
product  which  is  stored  for  the  purpose  of  being  analysed  should  the  need   
arise  during  the  shelf  life  of  the  batch  concerned.  Where  stability  permits,   
reference 
samples 
from 
critical 
intermediate 
stages 
(e.g.those 
requiring   
analytical  testing  and  release)  or  intermediates,  that  are  transported    outside 
of  the  manufacturer's  control,  should  be  kept.",Ref    8
"Reference 
Standard, 
Primary",1차  표준품,"광범위한    분석  시험에  의해  고순도의  신뢰성  있는  것으로  확인
된  물품.  이  표준품은  (1)  공인  기관에서  입수하거나,  (2)  별도의 
합성에  의해    제조하거나,  (3)  고순도의  기존  생산  물품에서  확보
하거나,  (4)  기존  생산  물품의  추가  정제에  의해  제조할  수  있다.","A    substance  that  has  been  shown  by  an  extensive  set  of  analytical  tests  to 
be    authentic  material  that  should  be  of  high  purity.  This  standard  can  be: 
(1) 
  obtained 
from 
an  officially 
recognised 
source,  or 
(2)  prepared  by 
independent    synthesis,  or  (3)  obtained  from  existing  production  material  of 
high  purity,    or  (4)  prepared  by  further  purification  of  existing  production 
material.",Ref    2
"Reference 
Standard, 
Secondary",2차  표준품,"일차    표준품과  비교를  통해  일상적인  시험  분석의  표준품으로 
사용될  수  있는  규정된  품질과  순도를  갖춘  물질.","A    substance  of  established  quality  and  purity,  as  shown  by  comparison  to  a   
primary 
reference 
standard, 
used 
as 
a 
reference 
standard 
for 
routine   
laboratory  analysis.",Ref    2
"Regulated 
User",법적  사용자,"컴퓨터화    시스템  및  어플리케이션,  그와  관련된  파일들,  데이터
에  대해  책임이  있는  법적  실행  주체(‘사용자’  참조)","The    regulated  Good  Practice  entity,  that  is  responsible  for  the  operation  of 
a    computerised  system  and  the  applications,  files  and  data  held  thereon. 
(See    also  ‘User’)",Ref    1
Repeatability,반복성,"각각    동일한  실험실,  시험자,  장치와  기구,  제조번호와  시약과  기
타  동일한  조작  조건하에서  균일한  검체로부터  얻은  복수의  시료
를  짧은  시간차로    반복  분석  실험하여  얻은  측정값들  사이의  근
접성을  말한다.  Intra-assay  precision이라고도  한다.",N/A,Ref    17
"Representati
ve  sample",대표검체,"무작위  검체  채취  같은  합리적인  기준에  의해  채취
되며  검체가  검체  채취  대상      물품을  정확하게  대
표할  수  있도록  된  다수의  물품으로  구성된  검체를 
의미한다.","Representative    samplemeans  a  sample  that  consists  of  a  number  of  units 
that  are  drawn  based 
  on 
rational  criteria  such  as 
random  sampling  and 
intended  to  assure  that  the    sample  accurately  portrays  the  material  being 
sampled.",Ref    3
Reprocessing,재가공,"기준  또는  규격에  부합하지  않는  것을  포함하여  중간체  또는   
API를  공정에  다시  투입하여  설정된  제조공정의  일부인  결정화 
단계  또는  적절한  화학적  또는  물리적  조작  단계(예를  들어  증류, 
여과,    크로마토그래피,  체화)를  반복하는  것.  공정관리  시험에서 
단계가  불완전하다고  나타난  이후  해당  공정  단계를  계속하는  것
은  재가공이  아니라    정상적인  공정의  일부  간주한다.","Introducing  an    intermediate  or  API,  including  one  that  does  not  conform  to 
standards 
or 
 
specifications, 
back 
into 
the 
process 
and 
repeating 
a 
crystallization  step  or    other  appropriate  chemical  or  physical  manipulation 
steps  (e.g.,    distillation,  filtration,  chromatography,  milling)  that  are  part  of  the   
established  manufacturing  process.  Continuation  of  a  process  step  after  an   
in-process  control  test  has  shown  that  the  step  is  incomplete  is  considered   
to  be  part  of  the  normal  process,  and  not  reprocessing.",Ref    2
,,"특정  생산  단계에서  품질이  부적합한  것으로  판단된  제품  배치 
전부  또는  일부를  하나  이상의  추가  작업으로  처리해    품질을  적
합하게  만드는  재작업.","The   
reworking  of  all  or  part  of  a  batch  of  product  of  an  unacceptable 
quality 
 
from  a  defined  stage  of  production  so 
that 
its  quality  may  be 
rendered    acceptable  by  one  or  more  additional  operations.",Ref    4
,,"사전에결정해놓은규격에부합하지못한공정중의약품,벌크가공중간제
품(최종생물학적벌크중간제품)또는벌크제품단일 
 
배치/로트를     
밸리데이션된  제조  공정  이전  단계에  다시  투입하여  처리하는  것.","Subjecting    all  or  part  of  a  batch  or  lot  of  an  in-process  medicine,  bulk 
process    intermediate  (fi  nal  biological  bulk  intermediate)  or  bulk  product  of 
a    single  batch/lot  to  a  previous  step  in  the  validated  manufacturing  process   
due  to  failure  to  meet  predetermined  specifi  cations.",Ref    5
,,"기준일탈한  제조공정  단계에  있는  반제품에  대하여  이미  설정되
어  있는  생산공정의  일부    공정을  반복하는  행위를  말한다.",N/A,Ref    15
Reproducibili,실험실간    정밀성,"일반적으로    표준화된  시험방법을  사용한  공동연구에  적용되는데,",N/A,Ref    17
ty,,"서로  다른  실험실에서  하나의  균일한  검체로부터  채취한  시료에 
대하여  얻은  측정값들  사이의    근접성을  말한다.",,
"Requirement
s","요구,    요구사항,  필요
요건","환자    또는  그  대리인(예를  들어  보건의료  전문가,  규제당국  및 
입법의원)의  외재적  또는  내재적  필요  또는  기대.  이  문서에서  요
건이라  함은  법적    또는  규제  요건뿐만  아니라  필요  및  기대도 
포함한다.","The 
  explicit  or 
implicit  needs  or  expectations  of 
the  patients  or 
their   
surrogates  (e.g.,  health  care  professionals,  regulators  and  legislators).  In    this 
document, 
“requirements” 
refers 
not 
only 
to 
statutory, 
legislative, 
or   
regulatory  requirements,  but  also  to  such  needs  and  expectations.",Ref    14
"Retention 
sample","보관용검체,    보존품, 
참고품","완제품    제조단위에서  채취한  포장이  완료된  개체의  검체.  이는 
해당  제조단위의  보관기간  동안  필요한  경우,  포장,  표시,  환자용 
설명서,  제조번호,    유효기간  등을  확인할  목적으로  보관한다.  서
로  다른  시장용으로  같은  제조단위를  소량  포장하는  경우나  매우 
고가인  의약품을  생산하는  경우와    같이  중복으로  검체를  보관하
지  않아도  이  요건을  충족시킬  수  있는  예외적인  상황이  있을  수 
있다.","a  sample  of  a 
fully  packaged  unit 
from  a 
 
  batch  of 
finished  product. 
Itisstoredforidentificationpurposes.Forexample,presentation,p
ackaging,labelling,patientinformationleaflet,batchnumber,expir
ydateshouldtheneedariseduringtheshelflifeofthebatchconcerne
d.Theremaybeexceptionalcircumstanceswherethisrequirement
canbemetwithoutretentionofduplicatesamplese.g.wheresmalla
mountsofabatcharepackagedfordifferentmarketsorintheproduc
tionofveryexpensivemedicinalproducts.",Ref    8
Retest  Date,재시험날짜,"원자재가  여전히  사용에  적합함을  확인하기  위하여    재검사하여
야  하는  일자.","The  date  when  a    material  should  be  re-examined  to  ensure  that  it  is  still 
suitable  for  use.",Ref    2
"Retrospective 
Validation",회고적    밸리데이션,"이미  시판  중에  잇는  제품의    공정에  대하여  축적된  제조,  시험, 
관리  데이터를  근거로  실시하는  밸리데이션","Validation    of  a  process  for  a  product  which  has  been  marketed  based  upon 
accumulated    manufacturing,  testing  and  control  batch  data.",Ref    6
Return,반품,"품질  결함  여부와  상관없이  의약품을  제조업자  또는    유통업자에
게  돌려보내는  행위.","Sending  back 
to 
 
the  manufacturer  or  distributor  of  a  medicinal  product 
which  may  or  may  not    present  a  quality  defect.",Ref    4
,,,,
"Revalidation(
Re-Validation
)",재밸리데이션,밸리데이션  공정  또는  그    일부를  반복하는  것.,Repetition  of    the  validation  process  or  a  specific  portion  of  it.,Ref    1
,,"변경  관리  절차에  의거하여  도입된  공정/설비의  변경이  공정  특
성  및  제품  품질에    부정적인  영향을  주지  않는다는  점을  보증하
기  위해  공정  밸리데이션을  반복하는  것","A    repeat  of  the  process  validation  to  provide  an  assurance  that  changes  in 
the 
 
process/equipment 
introduced 
in 
accordance  with 
change 
control 
procedures  do 
  not  adversely  affect  process 
characteristics  and  product 
quality.",Ref    6
Reworking,"재작업,  재처리","기준  또는  규격에  부합하지  않는  중간체  또는  API를    적합한  품
질의  중간체  또는  API를  얻기  위해  설정된  제조  공정과  다른  하
나  또는  그  이상의  공정  단계에  투입하는  것(예를  들어  다른    용
매를  이용한  재결정화).","Subjecting  an    intermediate  or  API  that  does  not  conform  to  standards  or 
specifications  to    one  or  more  processing  steps  that  are  different  from  the 
established    manufacturing  process  to  obtain  acceptable  quality  intermediate 
or  API  (e.g.,    recrystallizing  with  a  different  solvent).",Ref    2
,,"사전에  결정해  놓은  규격에  부합하지  못한  공정  중  또는  벌크  가
공  중간제품(최종  생물학적  벌크  중간제품)  또는  최종    제품  단일 
배치를  다른  제조  공정으로  처리하는  것.  재작업은  예상치  못한 
경우에  해당되며  판매허가의  일부로  미리  승인  받지  않는다.","Subjecting    an  in-process  or  bulk  process  intermediate  (fi  nal  biological  bulk   
intermediate) 
or 
final 
product 
of 
a 
single 
batch 
to 
an 
alternate   
manufacturing  process  due  to  a  failure  to  meet  predetermined  specifi  cations.   
Reworking  is  an  unexpected  occurrence  and  is  not  pre-approved  as  part  of 
the    marketing  authorization.",Ref    5
Risk,"위해,    위험도,  리스크",위해의    발생가능성과  해당  위해의  심각성의  조합,"The    combination  of  the  probability  of  occurrence  of  harm  and  the  severity 
of  that    harm  (ISO/IEC  Guide  51).",Ref    14
"Risk 
Acceptance",리스크허용,리스크를    수용하고자  하는  결정,The    decision  to  accept  risk  (ISO  Guide  73).,Ref    14
,,,,
Risk  Analysis,위해분석,"설비    또는  공정의  기능  부분에서  주요  변수를  평가하고  특성을 
파악하는  방법","Methodtoassessandcharacterisethecriticalparametersinthefunctionalityofan
equipmentorprocess.",Ref    6
,,파악된  위해  요소와  관련된  리스크의  추정.,The    estimation  of  the  risk  associated  with  the  identified  hazards.,Ref    14
